id	datum	kutyaid	razas	vakarozas	ugatas	kaloria	alvas
1	2022.04.29	5	0	0	2	1367	88
2	2022.08.12	11	1	0	5	1553	90
3	2022.06.15	14	0	1	6	1215	90
4	2022.08.19	4	1	0	8	1733	87
5	2022.06.22	9	0	1	4	1126	97
6	2022.05.10	10	0	0	7	2004	85
7	2022.08.30	8	0	0	11	1725	86
8	2022.06.17	5	0	1	3	1320	88
9	2022.08.12	12	1	0	6	1206	86
10	2022.06.06	7	0	1	4	1081	89
11	2022.07.19	6	1	1	9	1354	90
12	2022.08.11	6	0	0	7	1081	92
13	2022.04.28	1	0	0	8	1250	95
14	2022.07.03	5	0	0	2	1316	84
15	2022.07.03	1	0	0	9	1370	91
16	2022.05.25	10	0	0	8	1514	85
17	2022.07.11	2	0	0	4	1772	93
18	2022.08.09	7	0	1	2	1198	88
19	2022.07.03	14	0	0	4	1126	87
20	2022.07.31	5	0	0	2	1399	88
21	2022.07.02	2	0	0	3	1667	90
22	2022.07.24	10	0	1	10	1869	85
23	2022.08.13	14	0	0	7	1159	84
24	2022.08.26	12	0	0	8	1263	92
25	2022.06.23	9	0	0	0	1471	95
26	2022.07.04	12	0	0	7	1371	92
27	2022.07.16	12	0	0	6	1399	91
28	2022.07.26	2	0	0	3	1766	91
29	2022.08.11	5	0	0	3	1115	88
30	2022.08.14	13	1	1	10	1182	90
31	2022.06.25	2	0	0	1	1220	82
32	2022.07.19	9	0	0	5	1109	94
33	2022.07.27	3	0	0	0	781	87
34	2022.06.06	10	0	0	1	1420	88
35	2022.07.26	13	0	0	11	1106	91
36	2022.05.09	9	0	1	0	1479	80
37	2022.08.28	12	0	0	11	1301	88
38	2022.06.09	5	1	0	3	1238	90
39	2022.07.14	14	0	0	5	811	92
40	2022.07.11	13	0	0	8	1485	92
41	2022.07.30	10	1	1	10	2246	88
42	2022.08.27	11	0	0	5	1067	88
43	2022.05.21	1	0	1	6	1203	93
44	2022.07.29	10	1	0	6	1443	87
45	2022.07.25	14	0	0	5	1342	87
46	2022.06.26	9	0	0	3	951	96
47	2022.05.25	6	0	0	10	1445	90
48	2022.06.29	14	0	0	5	1212	80
49	2022.08.31	13	0	1	5	1366	93
50	2022.06.25	8	0	0	4	1891	87
51	2022.05.26	8	0	1	5	1801	88
52	2022.06.30	10	0	0	4	1181	89
53	2022.08.02	5	0	0	2	1619	90
54	2022.07.25	13	0	1	8	1122	94
55	2022.07.02	5	0	0	1	1701	88
56	2022.06.16	12	0	1	9	1620	85
57	2022.08.10	4	0	0	4	1742	89
58	2022.06.25	13	0	1	11	1446	85
59	2022.07.14	9	0	0	1	1018	94
60	2022.06.09	2	0	0	4	1551	86
61	2022.05.23	3	1	0	3	1010	91
62	2022.06.27	3	0	0	2	869	88
63	2022.07.07	10	0	0	3	2015	90
64	2022.06.28	7	0	0	4	1428	79
65	2022.08.05	9	0	0	3	1520	88
66	2022.08.29	3	0	0	2	1361	93
67	2022.08.20	1	0	1	10	1364	92
68	2022.06.08	8	0	0	7	1307	86
69	2022.06.05	14	0	0	4	1375	90
70	2022.07.09	6	0	0	6	1254	94
71	2022.07.25	3	0	0	6	1010	90
72	2022.07.19	14	1	0	4	1290	80
73	2022.08.31	6	1	0	8	1494	91
74	2022.06.24	8	0	0	10	1500	86
75	2022.06.11	5	0	0	3	924	80
76	2022.08.06	13	0	0	10	1673	90
77	2022.08.16	2	0	1	4	1497	90
78	2022.07.11	8	0	0	10	1336	89
79	2022.07.22	9	1	0	0	1455	89
80	2022.07.24	1	0	1	5	1335	95
81	2022.08.11	12	0	0	3	1382	92
82	2022.08.08	11	0	1	3	1128	90
83	2022.07.27	1	0	1	6	1218	95
84	2022.06.07	7	0	0	3	1307	87
85	2022.08.20	3	0	1	6	1047	91
86	2022.06.04	7	0	0	4	1405	83
87	2022.07.10	9	0	0	3	1329	96
88	2022.08.16	3	0	0	3	841	96
89	2022.08.23	3	0	1	0	1008	92
90	2022.08.07	14	1	1	4	804	90
91	2022.07.17	11	0	0	5	1568	89
92	2022.06.25	1	0	0	3	1437	95
93	2022.08.11	11	0	0	4	1430	88
94	2022.06.12	14	0	0	7	970	92
95	2022.07.17	13	0	0	5	1692	90
96	2022.07.30	1	0	0	8	1293	96
